transaction_id,category,amount,hour_of_day,payment_method,decline_code,customer_past_success_rate,is_treated,actually_resolved,is_ambiguous,gt_would_self_resolve,gt_nudge_effectiveness,gt_sleeping_dog,gt_true_root_cause
d41a95a2-6c3f-4b1f-9dc8-047ebe76687c,checkout,5910.97,10,upi,U69,0.873,False,False,False,False,0.65,False,
589123f0-80a7-4caf-8f0f-af4b0776df23,receivable,153442.32,9,bank_transfer,overdue_with_dispute_flag,0.842,False,False,False,False,0.35,False,
b6f3cd78-48b0-4a6e-9677-3bae7aba1823,checkout,6691.96,15,upi,Z9,0.884,False,False,False,False,0.45,False,
94010aa2-d834-43f5-9159-cdba38ec0900,subscription,2499.0,15,upi_mandate,mandate_expired,0.585,False,False,False,False,0.4,False,
88e5deff-475e-4b71-b9ce-a4210876727a,subscription,2499.0,15,upi_mandate,mandate_expired,0.914,False,False,False,False,0.4,False,
4f46440f-4045-4a68-8159-027e3e848c1b,checkout,12689.17,16,card,U69,0.872,False,False,False,False,0.65,False,
0b6e5f19-1bce-447a-8dc3-53a1133ee36b,checkout,345.3,17,upi,U69,0.891,False,False,False,False,0.65,False,
274e49d7-cd09-4bb6-b200-f5aec56eee1d,checkout,8834.93,22,card,Z9,0.742,False,False,False,False,0.45,False,
48cdd419-26eb-488c-b119-a211138ce119,subscription,999.0,15,upi_mandate,mandate_paused,0.759,True,False,False,False,0.4,False,
0b2f5c26-5623-4b08-8c2f-65c8fcd723ae,subscription,1499.0,19,upi_mandate,mandate_expired,0.787,True,False,False,False,0.4,False,
d671efe6-6f00-4b08-93b1-9b1b273e7066,checkout,14625.6,15,card,U69,0.916,False,False,False,False,0.65,False,
b263bc76-5bd5-40bf-a445-a9145433f86c,subscription,1499.0,1,card,mandate_expired,0.595,True,True,False,False,0.4,False,
36c020f3-a4cb-4403-a986-90a2b155cc0c,subscription,1499.0,7,card,mandate_expired,0.968,False,False,False,False,0.4,False,
0f37a804-b8a8-492e-a251-e75c74e02333,checkout,10847.4,7,upi,U69,0.875,True,True,False,True,0.65,False,
16b23361-f437-4b93-98ff-54185a4622de,receivable,208233.42,8,bank_transfer,overdue_no_dispute,0.977,False,False,False,False,0.35,False,
